datetime,SYM_H
2015-05-10 16:10:00,-10
2015-05-10 16:15:00,-10
2015-05-10 16:20:00,-10
2015-05-10 16:25:00,-9
2015-05-10 16:30:00,-8
2015-05-10 16:35:00,-7
2015-05-10 16:40:00,-7
2015-05-10 16:45:00,-8
2015-05-10 16:50:00,-9
2015-05-10 16:55:00,-10
2015-05-10 17:00:00,-10
2015-05-10 17:05:00,-10
2015-05-10 17:10:00,-10
2015-05-10 17:15:00,-11
2015-05-10 17:20:00,-11
2015-05-10 17:25:00,-10
2015-05-10 17:30:00,-10
2015-05-10 17:35:00,-9
2015-05-10 17:40:00,-10
2015-05-10 17:45:00,-11
2015-05-10 17:50:00,-11
2015-05-10 17:55:00,-10
2015-05-10 18:00:00,-9
2015-05-10 18:05:00,-8
2015-05-10 18:10:00,-6
2015-05-10 18:15:00,-6
2015-05-10 18:20:00,-7
2015-05-10 18:25:00,-8
2015-05-10 18:30:00,-8
2015-05-10 18:35:00,-8
2015-05-10 18:40:00,-9
2015-05-10 18:45:00,-10
2015-05-10 18:50:00,-11
2015-05-10 18:55:00,-12
2015-05-10 19:00:00,-11
2015-05-10 19:05:00,-11
2015-05-10 19:10:00,-11
2015-05-10 19:15:00,-12
2015-05-10 19:20:00,-13
2015-05-10 19:25:00,-15
2015-05-10 19:30:00,-15
2015-05-10 19:35:00,-13
2015-05-10 19:40:00,-12
2015-05-10 19:45:00,-13
2015-05-10 19:50:00,-13
2015-05-10 19:55:00,-13
2015-05-10 20:00:00,-13
2015-05-10 20:05:00,-12
2015-05-10 20:10:00,-12
2015-05-10 20:15:00,-12
2015-05-10 20:20:00,-13
2015-05-10 20:25:00,-15
2015-05-10 20:30:00,-15
2015-05-10 20:35:00,-13
2015-05-10 20:40:00,-12
2015-05-10 20:45:00,-11
2015-05-10 20:50:00,-11
2015-05-10 20:55:00,-11
2015-05-10 21:00:00,-12
2015-05-10 21:05:00,-14
2015-05-10 21:10:00,-15
2015-05-10 21:15:00,-13
2015-05-10 21:20:00,-13
2015-05-10 21:25:00,-15
2015-05-10 21:30:00,-17
2015-05-10 21:35:00,-17
2015-05-10 21:40:00,-15
2015-05-10 21:45:00,-14
2015-05-10 21:50:00,-13
2015-05-10 21:55:00,-13
2015-05-10 22:00:00,-16
2015-05-10 22:05:00,-17
2015-05-10 22:10:00,-15
2015-05-10 22:15:00,-15
2015-05-10 22:20:00,-16
2015-05-10 22:25:00,-17
2015-05-10 22:30:00,-16
2015-05-10 22:35:00,-17
2015-05-10 22:40:00,-18
2015-05-10 22:45:00,-18
2015-05-10 22:50:00,-17
2015-05-10 22:55:00,-15
2015-05-10 23:00:00,-19
2015-05-10 23:05:00,-22
2015-05-10 23:10:00,-24
2015-05-10 23:15:00,-25
2015-05-10 23:20:00,-25
2015-05-10 23:25:00,-24
2015-05-10 23:30:00,-23
2015-05-10 23:35:00,-22
2015-05-10 23:40:00,-23
2015-05-10 23:45:00,-23
2015-05-10 23:50:00,-21
2015-05-10 23:55:00,-21
2015-05-11 00:00:00,-22
2015-05-11 00:05:00,-22
2015-05-11 00:10:00,-23
2015-05-11 00:15:00,-24
2015-05-11 00:20:00,-24
2015-05-11 00:25:00,-25
2015-05-11 00:30:00,-26
2015-05-11 00:35:00,-26
2015-05-11 00:40:00,-26
2015-05-11 00:45:00,-28
2015-05-11 00:50:00,-29
2015-05-11 00:55:00,-30
2015-05-11 01:00:00,-31
2015-05-11 01:05:00,-32
2015-05-11 01:10:00,-32
2015-05-11 01:15:00,-32
